student_id,study_hours,attendance_percentage,previous_score,pass_or_fail
114,16.4,41,21,Fail
115,13.0,84,92,Pass
116,17.6,64,56,Pass
117,16.3,78,39,Pass
118,4.5,48,45,Fail
119,18.0,93,48,Pass
120,11.2,61,20,Fail
121,16.3,82,54,Pass
122,18.0,85,89,Pass
123,7.0,43,78,Fail
124,3.1,65,88,Fail
125,5.3,97,52,Pass
126,9.1,68,70,Pass
127,16.5,84,97,Pass
128,17.4,73,31,Pass
129,1.1,62,39,Fail
130,10.7,76,72,Pass
131,8.9,50,62,Fail
132,5.2,45,69,Fail
133,3.3,57,48,Fail
134,7.4,60,76,Fail
135,18.9,81,58,Pass
136,7.1,75,75,Pass
137,10.9,80,62,Pass
138,14.4,77,69,Pass
139,7.9,73,42,Fail
140,19.5,56,63,Pass
141,19.3,76,57,Pass
142,5.8,64,42,Fail
143,10.4,77,64,Pass
144,6.7,97,71,Pass
145,6.4,51,99,Fail
146,1.7,62,69,Fail
147,12.6,92,27,Pass
148,10.6,81,20,Fail
149,2.0,61,27,Fail
150,6.3,60,48,Fail
151,18.3,66,24,Pass
152,5.6,96,66,Pass
153,3.8,70,53,Fail
154,10.3,45,84,Fail
155,19.7,66,74,Pass
156,5.6,79,62,Pass
157,13.8,73,93,Pass
158,15.5,51,49,Pass
159,5.5,84,36,Fail
160,14.8,96,45,Pass
161,8.0,92,27,Pass
162,13.0,46,66,Fail
163,13.0,49,95,Pass
164,11.2,84,91,Pass
165,2.7,56,65,Fail
166,16.9,65,87,Pass
167,7.1,60,52,Fail
168,4.5,67,20,Fail
169,1.8,97,38,Fail
170,12.2,85,50,Pass
171,13.9,41,99,Pass
172,1.3,99,33,Fail
173,10.7,93,72,Pass
174,5.3,82,67,Pass
175,13.3,40,88,Pass
176,4.3,90,81,Pass
177,14.1,92,85,Pass
178,8.3,75,83,Pass
179,18.8,90,89,Pass
180,3.6,65,82,Fail
181,7.5,68,92,Pass
182,3.2,60,52,Fail
183,18.6,50,60,Pass
184,17.7,79,67,Pass
185,5.9,50,32,Fail
186,13.5,75,92,Pass
187,16.5,88,96,Pass
188,11.5,98,50,Pass
189,11.1,78,94,Pass
190,5.6,79,87,Pass
191,2.8,74,23,Fail
192,18.0,93,38,Pass
193,18.1,73,89,Pass
194,13.0,94,32,Pass
195,7.4,86,42,Pass
196,7.6,63,94,Pass
197,14.8,93,20,Pass
198,18.0,61,73,Pass
199,17.9,44,90,Pass
200,15.8,95,34,Pass
201,13.2,72,84,Pass
202,2.6,97,95,Pass
203,4.1,75,90,Pass
204,18.1,86,34,Pass
205,12.5,59,40,Fail
206,1.2,58,38,Fail
207,2.9,74,79,Fail
208,13.6,91,52,Pass
209,1.1,82,68,Fail
210,4.1,56,54,Fail
211,11.4,98,63,Pass
212,14.1,84,30,Pass
213,13.4,82,91,Pass
214,5.3,73,97,Pass
215,14.5,48,93,Pass
216,5.5,65,85,Fail
217,7.2,41,65,Fail
218,15.2,92,28,Pass
219,13.3,48,22,Fail
220,17.1,48,45,Pass
221,13.5,79,91,Pass
222,11.8,56,67,Pass
223,2.8,40,85,Fail
224,8.0,64,89,Pass
225,6.0,82,47,Fail
226,5.6,79,45,Fail
227,19.5,81,44,Pass
228,8.5,64,31,Fail
229,17.9,78,24,Pass
230,13.0,74,67,Pass
231,16.1,42,56,Pass
232,10.6,89,98,Pass
233,12.0,76,63,Pass
234,10.4,83,34,Pass
235,4.7,83,62,Pass
236,14.7,90,67,Pass
237,6.3,69,89,Pass
238,1.5,77,65,Fail
239,13.3,73,62,Pass
240,4.4,51,40,Fail
241,18.9,58,42,Pass
242,19.1,76,99,Pass
243,18.4,83,66,Pass
244,8.0,98,34,Pass
245,1.3,98,44,Fail
246,18.6,88,55,Pass
247,9.1,56,94,Pass
248,19.4,49,70,Pass
249,19.3,96,34,Pass
250,17.2,94,87,Pass
251,6.6,88,40,Pass
252,8.3,86,32,Pass
253,17.2,51,38,Pass
254,7.0,55,53,Fail
255,4.2,63,97,Fail
256,11.6,58,87,Pass
257,18.8,47,71,Pass
258,14.2,70,46,Pass
259,11.8,60,48,Fail
260,2.8,56,47,Fail
261,12.7,62,54,Pass
262,19.8,76,27,Pass
263,3.7,93,35,Fail
264,10.8,55,55,Fail
265,17.7,45,49,Pass
266,15.1,47,37,Fail
267,14.2,64,21,Fail
268,14.3,57,68,Pass
269,7.8,64,96,Pass
270,6.6,51,23,Fail
271,16.4,54,94,Pass
272,16.4,98,26,Pass
273,17.5,65,93,Pass
274,18.4,80,58,Pass
275,10.7,84,32,Pass
276,10.5,65,50,Fail
277,16.2,86,90,Pass
278,13.3,71,82,Pass
279,14.3,49,75,Pass
280,16.1,55,61,Pass
281,17.9,46,80,Pass
282,7.4,56,61,Fail
283,8.1,62,75,Pass
284,2.8,65,55,Fail
285,12.0,60,87,Pass
286,1.7,61,26,Fail
287,9.8,97,73,Pass
288,11.3,46,20,Fail
289,6.4,53,63,Fail
290,12.2,54,64,Pass
291,1.6,92,66,Fail
292,1.7,46,32,Fail
293,16.6,48,41,Pass
294,7.8,90,40,Pass
295,3.4,87,28,Fail
296,10.9,47,45,Fail
297,15.6,89,28,Pass
298,5.1,98,34,Pass
299,12.8,62,29,Fail
300,2.6,68,61,Fail
301,2.0,57,91,Fail
302,11.1,70,43,Pass
303,11.3,69,99,Pass
304,13.1,91,68,Pass
305,14.8,78,45,Pass
306,19.5,74,56,Pass
307,10.8,57,87,Pass
308,7.1,98,69,Pass
309,16.1,81,43,Pass
310,6.1,78,38,Fail
311,9.3,56,79,Pass
312,2.5,53,58,Fail
313,1.5,70,93,Fail
314,19.3,63,37,Pass
315,16.9,74,38,Pass
316,14.2,83,55,Pass
317,8.8,99,93,Pass
318,4.3,84,74,Pass
319,4.0,73,88,Pass
320,5.8,42,66,Fail
321,11.4,76,68,Pass
322,14.6,82,52,Pass
323,13.5,79,40,Pass
324,6.3,65,41,Fail
325,19.1,94,67,Pass
326,15.0,62,56,Pass
327,11.5,83,34,Pass
328,12.6,78,54,Pass
329,9.0,54,90,Pass
330,5.7,95,51,Pass
331,7.8,88,30,Fail
332,15.4,43,29,Fail
333,1.3,68,92,Fail
334,3.2,61,97,Fail
335,1.9,64,96,Fail
336,1.8,52,76,Fail
337,17.3,57,44,Pass
338,14.4,72,21,Pass
339,10.0,55,83,Pass
340,2.9,84,54,Fail
341,10.3,81,26,Fail
342,10.0,83,37,Pass
343,4.3,41,86,Fail
344,9.2,94,61,Pass
345,8.6,74,58,Pass
346,12.7,81,60,Pass
347,13.1,73,94,Pass
348,1.9,69,43,Fail
349,8.1,98,79,Pass
350,12.9,94,65,Pass
351,10.6,52,38,Fail
352,17.3,52,87,Pass
353,13.5,57,61,Pass
354,4.1,71,51,Fail
355,2.3,71,58,Fail
356,13.2,74,55,Pass
357,1.5,98,55,Fail
358,12.1,78,22,Pass
359,18.9,85,92,Pass
360,11.9,91,27,Pass
361,8.4,68,89,Pass
362,13.2,88,60,Pass
363,9.7,68,87,Pass
364,11.4,92,32,Pass
365,18.9,83,68,Pass
366,8.3,96,79,Pass
367,19.3,55,21,Pass
368,18.2,95,79,Pass
369,4.7,83,24,Fail
370,2.3,86,63,Fail
371,2.9,96,46,Fail
372,1.3,49,51,Fail
373,2.8,69,40,Fail
374,14.0,64,27,Fail
375,2.4,78,91,Pass
376,7.1,59,69,Fail
377,17.1,44,86,Pass
378,1.4,40,63,Fail
379,16.5,69,77,Pass
380,6.4,88,22,Fail
381,3.2,42,89,Fail
382,14.2,84,21,Pass
383,12.9,53,63,Pass
384,17.7,95,21,Pass
385,15.0,69,54,Pass
386,16.3,89,49,Pass
387,6.4,43,27,Fail
388,4.4,57,41,Fail
389,15.3,76,63,Pass
390,16.3,64,77,Pass
391,19.8,87,55,Pass
392,8.8,40,88,Fail
393,8.1,92,96,Pass
394,15.8,85,50,Pass
395,7.5,54,66,Fail
396,18.7,48,74,Pass
397,17.3,54,99,Pass
398,9.2,88,81,Pass
399,15.3,96,49,Pass
400,15.3,63,74,Pass
401,3.0,43,35,Fail
402,18.1,51,31,Pass
403,10.6,98,36,Pass
404,16.7,97,35,Pass
405,7.1,76,31,Fail
406,18.0,76,27,Pass
407,8.4,82,22,Fail
408,1.2,99,35,Fail
409,18.2,45,49,Pass
410,2.7,78,42,Fail
411,7.1,95,24,Fail
412,19.1,85,84,Pass
413,19.1,63,49,Pass
414,11.9,50,40,Fail
415,13.0,52,89,Pass
416,9.5,73,41,Fail
417,6.6,64,91,Pass
418,7.2,46,51,Fail
419,13.8,91,52,Pass
420,15.3,43,35,Fail
421,16.0,98,95,Pass
422,16.0,47,57,Pass
423,2.7,59,33,Fail
424,10.4,68,55,Pass
425,2.1,93,42,Fail
426,11.4,92,85,Pass
427,9.4,90,21,Pass
428,17.9,84,92,Pass
429,7.7,85,84,Pass
430,3.2,49,94,Fail
431,3.7,82,86,Pass
432,15.5,73,71,Pass
433,12.7,96,81,Pass
434,2.9,65,42,Fail
435,2.6,80,45,Fail
436,14.3,88,87,Pass
437,2.4,97,74,Pass
438,16.6,42,25,Fail
439,14.4,95,54,Pass
440,2.5,45,41,Fail
441,2.6,44,62,Fail
442,19.7,44,34,Pass
443,8.1,93,79,Pass
444,8.0,86,31,Fail
445,16.4,62,68,Pass
446,19.0,88,61,Pass
447,19.7,48,57,Pass
448,15.3,74,64,Pass
449,8.1,59,54,Fail
450,2.6,97,49,Fail
451,15.8,88,49,Pass
452,11.6,98,97,Pass
453,9.1,81,25,Fail
454,18.2,74,86,Pass
455,3.1,89,99,Pass
456,10.4,57,26,Fail
457,1.2,56,71,Fail
458,9.9,63,33,Fail
459,2.1,42,92,Fail
460,3.3,71,34,Fail
461,3.2,74,40,Fail
462,13.3,77,54,Pass
463,15.2,52,85,Pass
464,12.1,95,21,Pass
465,19.3,86,54,Pass
466,8.1,64,97,Pass
467,6.4,48,39,Fail
468,17.5,43,29,Fail
469,5.2,53,44,Fail
470,19.3,76,85,Pass
471,1.2,73,44,Fail
472,19.4,50,73,Pass
473,1.8,80,52,Fail
474,17.9,95,55,Pass
475,11.0,42,33,Fail
476,19.9,98,84,Pass
477,2.4,67,99,Fail
478,11.5,68,73,Pass
479,19.4,48,71,Pass
480,10.9,42,22,Fail
481,13.0,64,60,Pass
482,14.2,73,25,Pass
483,9.6,51,44,Fail
484,12.9,81,32,Pass
485,12.1,48,27,Fail
486,18.1,54,40,Pass
487,1.9,79,87,Pass
488,6.3,64,44,Fail
489,19.1,44,98,Pass
490,17.9,50,87,Pass
491,9.7,98,64,Pass
492,12.8,73,79,Pass
493,6.3,63,31,Fail
494,4.6,99,51,Pass
495,9.8,54,32,Fail
496,7.7,77,50,Fail
497,12.1,47,97,Pass
498,2.5,98,39,Fail
499,19.5,44,37,Pass
500,19.7,87,79,Pass
501,14.3,65,82,Pass
502,11.2,57,25,Fail
503,6.9,45,51,Fail
504,16.5,76,62,Pass
505,14.0,99,21,Pass
506,4.1,87,79,Pass
507,18.3,52,42,Pass
508,16.6,67,50,Pass
509,19.0,44,24,Fail
510,14.8,52,53,Pass
511,12.7,56,29,Fail
512,8.9,89,21,Fail
513,18.7,79,30,Pass
514,17.5,84,69,Pass
515,1.9,71,50,Fail
516,1.5,68,75,Fail
517,8.2,90,98,Pass
518,16.4,97,92,Pass
519,19.8,42,28,Fail
520,3.9,95,40,Fail
521,12.3,79,92,Pass
522,8.2,73,47,Fail
523,19.4,79,81,Pass
524,17.0,66,26,Pass
525,16.9,52,99,Pass
526,9.9,84,35,Pass
527,8.9,72,23,Fail
528,6.2,45,23,Fail
529,2.1,63,59,Fail
530,17.4,58,36,Pass
531,16.4,55,71,Pass
532,20.0,79,71,Pass
533,19.9,67,55,Pass
534,11.6,72,57,Pass
535,15.6,98,69,Pass
536,19.0,98,82,Pass
537,17.1,87,82,Pass
538,5.7,80,81,Pass
539,9.6,52,26,Fail
540,3.5,82,46,Fail
541,19.1,84,33,Pass
542,12.5,64,90,Pass
543,5.3,92,24,Fail
544,13.8,81,74,Pass
545,12.7,75,21,Pass
546,7.8,66,81,Pass
547,3.2,77,40,Fail
548,13.8,99,98,Pass
549,10.9,46,40,Fail
550,15.7,44,29,Fail
551,10.9,82,77,Pass
552,17.2,84,58,Pass
553,11.5,97,24,Pass
554,11.7,96,84,Pass
555,17.7,90,32,Pass
556,8.7,70,72,Pass
557,3.5,62,64,Fail
558,1.5,81,51,Fail
559,15.3,49,55,Pass
560,12.8,71,79,Pass
561,14.4,82,30,Pass
562,5.0,92,82,Pass
563,3.6,69,40,Fail
564,1.3,78,71,Fail
565,7.7,70,74,Pass
566,12.2,57,45,Fail
567,8.5,75,87,Pass
568,9.3,41,53,Fail
569,18.2,53,71,Pass
570,7.6,52,71,Fail
571,10.8,68,48,Pass
572,15.9,51,57,Pass
573,8.5,78,61,Pass
574,12.8,41,40,Fail
575,17.4,71,61,Pass
576,19.0,52,32,Pass
577,3.8,85,83,Pass
578,18.6,66,36,Pass
579,10.4,88,28,Pass
580,5.9,80,60,Pass
581,9.7,56,20,Fail
582,19.6,79,21,Pass
583,10.4,70,79,Pass
584,7.2,73,67,Pass
585,13.0,99,48,Pass
586,5.6,63,29,Fail
587,2.4,84,77,Pass
588,3.4,74,79,Fail
589,3.4,87,40,Fail
590,3.9,45,47,Fail
591,3.6,58,94,Fail
592,13.2,69,53,Pass
593,4.5,46,27,Fail
594,7.6,49,78,Fail
595,18.0,80,91,Pass
596,10.0,71,68,Pass
597,13.7,73,98,Pass
598,4.3,67,36,Fail
599,4.7,99,79,Pass
600,1.8,54,64,Fail
601,4.2,69,88,Pass
602,6.3,76,51,Fail
603,4.4,68,63,Fail
604,2.7,61,84,Fail
605,3.3,43,27,Fail
606,9.8,59,96,Pass
607,4.9,71,91,Pass
608,7.9,75,62,Pass
609,10.6,89,20,Pass
610,14.1,43,70,Pass
611,1.7,66,43,Fail
612,16.2,56,43,Pass
613,12.9,51,36,Fail
614,2.6,61,24,Fail
615,17.6,56,39,Pass
616,18.5,49,40,Pass
617,2.2,93,77,Pass
618,6.3,40,50,Fail
619,16.3,61,30,Pass
620,15.2,65,71,Pass
621,4.5,95,34,Fail
622,5.0,98,26,Fail
623,8.0,57,47,Fail
624,10.2,89,70,Pass
625,12.7,53,77,Pass
626,8.0,86,24,Fail
627,9.8,68,24,Fail
628,15.2,51,27,Fail
629,1.7,75,83,Fail
630,5.8,98,29,Pass
631,14.6,74,57,Pass
632,18.0,91,27,Pass
633,10.7,51,44,Fail
634,11.1,46,92,Pass
635,3.0,68,85,Fail
636,9.5,50,98,Pass
637,11.1,72,69,Pass
638,5.6,45,86,Fail
639,6.1,86,68,Pass
640,8.2,54,55,Fail
641,1.4,71,87,Fail
642,7.1,90,97,Pass
643,5.0,50,60,Fail
644,7.2,97,81,Pass
645,3.3,62,29,Fail
646,17.9,65,40,Pass
647,12.3,73,55,Pass
648,13.9,85,31,Pass
649,16.0,73,21,Pass
650,10.5,68,32,Fail
651,2.7,43,72,Fail
652,11.2,56,51,Fail
653,12.1,74,35,Pass
654,15.2,52,51,Pass
655,9.2,80,51,Pass
656,3.4,78,30,Fail
657,6.4,54,29,Fail
658,7.9,94,34,Pass
659,13.3,68,36,Pass
660,11.8,68,59,Pass
661,7.8,50,37,Fail
662,19.7,91,74,Pass
663,12.5,71,92,Pass
664,5.5,41,44,Fail
665,2.9,86,78,Pass
666,3.9,53,97,Fail
667,5.7,59,41,Fail
668,4.1,61,49,Fail
669,4.5,50,63,Fail
670,6.4,66,51,Fail
671,4.3,42,70,Fail
672,18.0,56,65,Pass
673,2.5,83,40,Fail
674,11.0,95,51,Pass
675,8.8,67,58,Fail
676,19.7,68,31,Pass
677,3.1,60,66,Fail
678,8.6,86,37,Pass
679,19.4,55,40,Pass
680,17.4,76,32,Pass
681,16.5,98,40,Pass
682,5.9,59,27,Fail
683,4.2,45,65,Fail
684,13.7,58,26,Fail
685,18.7,96,42,Pass
686,11.6,44,94,Pass
687,11.9,42,41,Fail
688,6.3,98,41,Pass
689,15.6,40,48,Fail
690,4.6,97,32,Fail
691,7.1,99,21,Pass
692,9.1,77,48,Pass
693,10.6,54,98,Pass
694,5.6,73,71,Fail
695,3.2,74,46,Fail
696,12.6,88,69,Pass
697,6.5,64,98,Pass
698,12.0,63,42,Fail
699,3.9,51,63,Fail
700,10.1,57,96,Pass
701,11.1,54,41,Fail
702,2.0,83,62,Fail
703,7.4,55,56,Fail
704,3.6,66,80,Fail
705,2.2,47,75,Fail
706,19.8,99,22,Pass
707,7.1,85,82,Pass
708,16.4,64,38,Pass
709,5.8,56,42,Fail
710,13.9,68,48,Pass
711,15.4,92,49,Pass
712,12.3,47,58,Fail
713,10.0,54,44,Fail
714,8.8,66,27,Fail
715,7.6,85,77,Pass
716,18.7,89,35,Pass
717,16.8,91,91,Pass
718,19.3,46,20,Fail
719,3.4,42,24,Fail
720,14.9,68,22,Pass
721,18.8,83,84,Pass
722,4.4,92,23,Fail
723,2.3,63,83,Fail
724,15.1,99,29,Pass
725,11.9,97,40,Pass
726,17.0,42,65,Pass
727,3.7,59,46,Fail
728,16.1,85,85,Pass
729,4.8,54,60,Fail
730,4.1,64,32,Fail
731,4.1,69,28,Fail
732,16.5,53,55,Pass
733,13.6,46,77,Pass
734,10.9,56,73,Pass
735,7.8,83,31,Fail
736,17.7,59,97,Pass
737,8.5,75,33,Fail
738,16.5,48,53,Pass
739,9.3,77,72,Pass
740,8.2,87,39,Pass
741,9.8,96,94,Pass
742,6.7,99,35,Pass
743,15.2,61,89,Pass
744,10.6,93,75,Pass
745,5.4,92,77,Pass
746,18.1,92,23,Pass
747,8.3,41,23,Fail
748,11.3,63,39,Fail
749,18.2,47,29,Fail
750,12.9,50,43,Fail
751,3.2,52,45,Fail
752,18.9,56,56,Pass
753,12.9,47,73,Pass
754,7.4,60,40,Fail
755,3.6,57,93,Fail
756,16.1,69,57,Pass
757,12.8,57,65,Pass
758,11.1,85,23,Pass
759,18.0,86,79,Pass
760,16.0,70,76,Pass
761,3.9,77,64,Fail
762,6.9,71,39,Fail
763,5.7,50,36,Fail
764,15.1,84,90,Pass
765,1.6,64,23,Fail
766,11.8,72,33,Pass
767,15.5,99,22,Pass
768,17.7,77,99,Pass
769,7.5,80,77,Pass
770,16.6,47,74,Pass
771,3.1,50,23,Fail
772,17.1,61,43,Pass
773,3.4,90,53,Fail
774,8.5,63,49,Fail
775,16.1,80,38,Pass
776,3.8,56,50,Fail
777,5.4,51,79,Fail
778,14.7,96,79,Pass
779,14.7,85,38,Pass
780,13.2,71,68,Pass
781,14.2,54,82,Pass
782,11.3,55,41,Fail
783,5.8,93,43,Pass
784,7.6,61,95,Pass
785,4.5,67,49,Fail
786,18.3,59,77,Pass
787,12.1,72,50,Pass
788,8.6,49,83,Fail
789,9.8,79,38,Pass
790,19.0,71,67,Pass
791,3.9,89,64,Pass
792,12.1,99,74,Pass
793,10.6,72,74,Pass
794,12.6,41,37,Fail
795,1.3,72,82,Fail
796,17.6,72,66,Pass
797,18.7,80,94,Pass
798,11.7,52,76,Pass
799,14.2,69,64,Pass
800,18.5,72,52,Pass
801,14.4,52,36,Fail
802,3.9,91,89,Pass
803,11.9,65,23,Fail
804,12.5,61,39,Fail
805,9.1,78,66,Pass
806,15.0,41,34,Fail
807,18.8,77,89,Pass
808,18.6,78,66,Pass
809,9.6,65,97,Pass
810,3.2,85,94,Pass
811,19.7,97,28,Pass
812,16.9,89,35,Pass
813,3.4,54,88,Fail
814,18.5,73,80,Pass
815,17.5,81,29,Pass
816,10.9,94,69,Pass
817,12.2,83,22,Pass
818,8.6,88,96,Pass
819,2.0,79,89,Pass
820,7.4,50,70,Fail
821,16.3,42,38,Fail
822,1.1,98,61,Pass
823,7.3,45,54,Fail
824,8.6,48,65,Fail
825,11.2,45,45,Fail
826,18.5,48,88,Pass
827,7.6,78,83,Pass
828,7.6,70,56,Fail
829,15.0,71,68,Pass
830,9.6,80,40,Pass
831,5.3,89,93,Pass
832,9.6,51,83,Pass
833,3.7,47,24,Fail
834,4.4,47,89,Fail
835,10.5,89,23,Pass
836,9.0,67,58,Fail
837,18.4,59,54,Pass
838,7.9,86,20,Fail
839,12.0,98,43,Pass
840,13.0,46,76,Pass
841,1.2,50,89,Fail
842,13.6,59,60,Pass
843,4.4,55,73,Fail
844,19.3,43,65,Pass
845,3.8,45,79,Fail
846,8.9,97,79,Pass
847,2.6,61,76,Fail
848,19.9,65,50,Pass
849,10.5,42,43,Fail
850,12.3,80,55,Pass
851,2.3,99,49,Fail
852,15.2,81,43,Pass
853,5.0,53,49,Fail
854,18.1,50,26,Fail
855,4.9,57,54,Fail
856,4.6,93,74,Pass
857,1.7,51,33,Fail
858,10.0,62,29,Fail
859,11.7,51,99,Pass
860,2.2,52,35,Fail
861,15.7,64,73,Pass
862,9.6,84,96,Pass
863,11.0,90,89,Pass
864,9.4,97,63,Pass
865,8.6,58,92,Pass
866,11.6,94,64,Pass
867,3.9,85,75,Pass
868,4.5,75,76,Pass
